"BIN"	"name"
"010640006369"	"Товарищество с ограниченной ответственностью ""Өрлеу"""
"010940003325"	"Товарищество с ограниченной ответственностью ""Целина Агро"""
"020540003451"	"Товарищество с ограниченной ответственностью ""Целина Агро-2"""
"030140005178"	"Товарищество с ограниченной ответственностью ""Фирма ""АКСУ"""
"040840005640"	"Товарищество с ограниченной ответственностью ""Сарытомар"""
"041140003077"	"Товарищество с ограниченной ответственностью ""Дамеш"""
"041240011170"	"Товарищество с ограниченной ответственностью ""СХП""Еркін"""
"050740004783"	"Товарищество с ограниченной ответственностью ""Өрлеу-Агро"""
"060140029041"	"Товарищество с ограниченной ответственностью ""ЭкоСофт"""
"060740000283"	"Товарищество с ограниченной ответственностью ""Кокше-Стройтехника"""
"060840003886"	"Товарищество с ограниченной ответственностью ""Нура-Агро"""
"070640000390"	"Товарищество с ограниченной ответственностью ""АСАР-KMW"""
"091040000236"	"Товарищество с ограниченной ответственностью ""Маркетинговое Агентство АКТЕС"""
"091040003994"	"Товарищество с ограниченной ответственностью ""Барма.com"""
"100440002536"	"Товарищество с ограниченной ответственностью ""Юридическое Агентство Аргументы и Факты"""
"100540006582"	"Товарищество с ограниченной ответственностью ""Северное ТО"""
"110740015401"	"Товарищество с ограниченной ответственностью ""АгроКаз-2011"""
"140440019469"	"Товарищество с ограниченной ответственностью ""АкСер 2020"""
""	"Товарищество с ограниченной ответственностью ""СХП Ақмола"""
""	"Товарищество с ограниченной ответственностью ""СХП Ново-Приречное"""
""	"Товарищество с ограниченной ответственностью ""Юнон"""
""	"Товарищество с ограниченной ответственностью ""Арти-М"""
""	"Товарищество с ограниченной ответственностью ""Неон-5"""
"161240018549"	"Товарищество с ограниченной ответственностью ""Маншук Агро"""
"060140006131"	"Государственное учреждение ""Отдел строительства Есильского района"""
"050740010526"	"Товарищество с ограниченной ответственностью ""БЮФ - РАН"""
"071040022709"	"Товарищество с ограниченной ответственностью ""Нолина"""
"071140000117"	"Товарищество с ограниченной ответственностью ""Монстера"""
"071140000127"	"Товарищество с ограниченной ответственностью ""Шефлера"""
"071140000137"	"Товарищество с ограниченной ответственностью ""Ховея"""
"071140013555"	"Товарищество с ограниченной ответственностью ""Мизани"""
"080340017554"	"Товарищество с ограниченной ответственностью ""Ямур"""
"080340017633"	"Товарищество с ограниченной ответственностью ""Фелис"""
"080440006710"	"Товарищество с ограниченной ответственностью ""Бардо"""
"080440006740"	"Товарищество с ограниченной ответственностью ""Гремлин"""
"080440009705"	"Товарищество с ограниченной ответственностью ""Клеома"""
"080440010888"	"Товарищество с ограниченной ответственностью ""Силема"""
"080440016659"	"Товарищество с ограниченной ответственностью ""Туче"""
"080940010340"	"Товарищество с ограниченной ответственностью ""Сайко"""
"081040012684"	"Товарищество с ограниченной ответственностью ""Aza-in"""
"081240001884"	"Товарищество с ограниченной ответственностью ""Тайман Плюс"""
"090140004468"	"Товарищество с ограниченной ответственностью ""Casio Plus"""
"091240019185"	"Товарищество с ограниченной ответственностью ""АвтоДельта"""
"111040005719"	"Товарищество с ограниченной ответственностью ""Охранное агентство Бастион-Актобе"""
""	"Товарищество с ограниченной ответственностью ""Каргалы"""
""	"Товарищество с ограниченной ответственностью ""Колик-Сапар"""
""	"Товарищество с ограниченной ответственностью ""ФЕНИКС"""
""	"Товарищество с ограниченной ответственностью ""ЫРЫС"""
""	"Учреждение ""Госпиталь ""ФЕНИКС"""
""	"Товарищество с ограниченной ответственностью ""Кетсаль"""
"060740014055"	"Товарищество с ограниченной ответственностью ""Туристическое агентство ""КАСТОР"""
"990940000482"	"Товарищество с ограниченной ответственностью ""АГРОСЕРВИС"""
"031140008185"	"Товарищество с ограниченной ответственностью ""Қызылқоға Строй Сервис"""
"070440002974"	"Товарищество с ограниченной ответственностью ""Forpus Distribution"""
""	"Товарищество с ограниченной ответственностью ""Lukeday Group"""
""	"Товарищество с ограниченной ответственностью ""Хип Хилл"""
""	"Товарищество с ограниченной ответственностью ""ОКСУС ПЛЮС ЛТД"""
""	"Товарищество с ограниченной ответственностью ""Лакротиф ЛЛС"""
""	"Товарищество с ограниченной ответственностью ""Гелд Distribution"""
""	"Товарищество с ограниченной ответственностью ""Molda Oil"""
"030440000019"	"Товарищество с ограниченной ответственностью ""Товарный склад - IS"""
"040840017882"	"Товарищество с ограниченной ответственностью ""АТОН"""
"040940019674"	"Товарищество с ограниченной ответственностью ""Семена Масличных+"""
"041140007644"	"Товарищество с ограниченной ответственностью ""БЕРЕЗОВСКОЕ-АГРО"""
"041240020596"	"Товарищество с ограниченной ответственностью ""АРГОН-АГРО"""
"051140022223"	"Товарищество с ограниченной ответственностью ""Руслан-Веселовка"""
"071040021413"	"Товарищество с ограниченной ответственностью ""Защита Верх-Уба"""
"080140012902"	"Товарищество с ограниченной ответственностью ""КАЙНАРАГРОЖЕР"""
"951140000032"	"Товарищество с ограниченной ответственностью ""БЕРКУЗ"""
"991240002058"	"Государственное учреждение ""Профессиональный лицей № 12"""
""	"ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Востокзаготпромторг"""
"040140010453"	"Товарищество с ограниченной ответственностью ""Жолаушы-көлік СС-2"""
"040940005084"	"Товарищество с ограниченной ответственностью ""Компания Нур Астана"""
"051040009778"	"Товарищество с ограниченной ответственностью ""МЕГА ПРОЕКТ КОМПАНИ"""
"070640003583"	"Товарищество с ограниченной ответственностью ""Офтальмологический центр доктора Глазунова"""
"050240000590"	"Товарищество с ограниченной ответственностью ""УглеКоксМеталл"""
"080640019958"	"Товарищество с ограниченной ответственностью ""Агро-Сәт"" государственного учреждения ""Отдел финансов города Сатпаев"" акимата города Сатпаев"
"100740013017"	"Товарищество с ограниченной ответственностью ""COМBUY"" (КОМБАЙ)"
"100840010036"	"Товарищество с ограниченной ответственностью ""Lessor LTD"""
"100840010046"	"Товарищество с ограниченной ответственностью ""PAIDA-XXI"""
"121240002367"	"Товарищество с ограниченной ответственностью ""КазГорСтрой-2030"""
"130540016367"	"Сельский потребительский кооператив ""Атасу Агро Сервис"""
"950140001975"	"Товарищество с ограниченной ответственностью ""Шадл"""
"960740000707"	"Товарищество с ограниченной ответственностью фирма ""Весна"""
"970640000537"	"Товарищество с ограниченной ответственностью ""Зерновая компания- Агроинвест"""
"930340001041"	"Сельский потребительский кооператив ""Актогайский"""
"970540004219"	"Товарищество с ограниченной ответственностью ""ЖЕҢІС"""
"140640018824"	"Товарищество с ограниченной ответственностью ""АИМ 2050"""
"000140001784"	"Товарищество с ограниченной ответственностью ""Ново-Шумное"""
"000440001319"	"Товарищество с ограниченной ответственностью ""Досмаил-Агро"""
"040140003738"	"Товарищество с ограниченной ответственностью ""К.А.А."""
"041240004811"	"Товарищество с ограниченной ответственностью ""Родник Плюс"""
"050540001543"	"Товарищество с ограниченной ответственностью ""Ольшанское"""
"060440005075"	"Товарищество с ограниченной ответственностью ""Мойылды"""
"080240025155"	"Товарищество с ограниченной ответственностью ""Лисаковскгазсервис"""
"080640017019"	"Товарищество с ограниченной ответственностью ""Эко-консалтинг плюс"""
"081140006831"	"Товарищество с ограниченной ответственностью ""Мельремсервис"""
"100240023998"	"Товарищество с ограниченной ответственностью ""Оксимед"""
"131240000917"	"Товарищество с ограниченной ответственностью ""СК Заман"""
"950740000636"	"Товарищество с ограниченной ответственностью ""БОРОВСКАЯ АВТОБАЗА"""
"980640001031"	"Товарищество с ограниченной ответственностью ""Бірлестік"""
"990240001752"	"Товарищество с ограниченной ответственностью ""АК-КӨЛ"""
"990640000625"	"Товарищество с ограниченной ответственностью ""Баталинское"""
"991140002373"	"Сельский потребительский кооператив ""Мирас"""
""	"ТОО ""ЯРОВОЕ"""
""	"ТОО ""Челгаши-үн"""
""	"Товарищество с ограниченной ответственностью ""Есенколь"""
""	"Товарищество с ограниченной ответственностью ""Салават"""
"060440008179"	"Товарищество с ограниченной ответственностью ""ОВЕН ПЛЮС"""
"121040006332"	"Товарищество с ограниченной ответственностью ""svt  Kazakhstan"""
"140840015748"	"Товарищество с ограниченной ответственностью ""Intersafety"""
""	"Товарищество с ограниченной ответственностью ""АгроСервис ""Весна"""
""	"ТОО "" АГРОПРОДУКТ-2004 """
""	"Товарищество с ограниченной ответственностью ""KORGAU"""
"020240007681"	"Товарищество с ограниченной ответственностью ""ЭЛЕКСИ-ПВ"""
"040540015766"	"Товарищество с ограниченной ответственностью ""Фирдовси"""
"040840009217"	"Товарищество с ограниченной ответственностью ""Эшгин"""
"041140004491"	"Товарищество с ограниченной ответственностью ""Иверское"""
"041240003279"	"Товарищество с ограниченной ответственностью""Алекс-Агро"""
"050640003936"	"Товарищество с ограниченной ответственностью ""Богатое"""
"051140004057"	"Товарищество с ограниченной ответственностью ""Боевик"""
"060640003581"	"Товарищество с ограниченной ответственностью ""Дайындық Жер"""
"090140011986"	"Товарищество с ограниченной ответственностью ""Екатериновка"""
"090540011891"	"Товарищество с ограниченной ответственностью ""United Farming"""
"120740007938"	"Товарищество с ограниченной ответственностью ""ПетроГрупп маусым - шілде"""
"981240004193"	"Товарищество с ограниченной ответственностью ""Агротех"""
"991240001399"	"Товарищество с ограниченной ответственностью ""Биказ"""
"040240015408"	"товарищество с ограниченной ответственностью ""XXI-ҒАСЫР-Ш"""
"040440002542"	"Товарищество с ограниченной ответственностью  ""Газета ""Молшылық үшін"" Сузакского района"""
"071140006919"	"Государственное коммунальное предприятие ""Сарыағаш-Жарық"" акима города Сарыагаш акимата Сарыагашского района"
"100840000138"	"Частное учреждение ""Мини-центр дошкольного воспитания и обучения ""Даулет"""
"101240009945"	"Товарищество с ограниченной ответственностью ""Южпромлокомотив"""
"120840017671"	"Товарищество с ограниченной ответственностью ""ШымСпецЛит"""
"990540001951"	"Товарищество с ограниченной ответственностью ""Производственная фирма Бак-Полиграф"""
""	"Производственный  кооператив ""Көк-Саек"""
"020740000791"	"Товарищество с ограниченной ответственностью ""Геолого-технологическая компания ""ИРГИЗ"""
"030340000987"	"Товарищество с ограниченной ответственностью ""InfoConsulting AD"""
"040240005936"	"Товарищество с ограниченной ответственностью ""BMI - Management"""
"040840001658"	"Товарищество с ограниченной ответственностью ""Компания Владмет"""
"041140007426"	"Товарищество с ограниченной ответственностью ""Научно-технический инженерный центр и аспирантура ""Легпром"""
"050340001136"	"Товарищество с ограниченной ответственностью ""Stomlux"""
"050340011689"	"Товарищество с ограниченной ответственностью ""Издательский дом ""ЛЕВША"""
"060140017860"	"Товарищество с ограниченной ответственностью ""КАЗСТРОЙИМПЕРИЯ"""
"070340004603"	"Товарищество с ограниченной ответственностью ""Pedersen & Partners"" (Педерсен энд Партнерз)"
"071240003869"	"Товарищество с ограниченной ответственностью ""Красовская и Ко"""
"071240008017"	"Товарищество с ограниченной ответственностью ""Аманат-TRUST"""
"080640014263"	"Товарищество с ограниченной ответственностью ""NEW DREAM"""
"081040002250"	"Товарищество с ограниченной ответственностью ""AK-Sultan plus"""
"081040013335"	"Товарищество с ограниченной ответственностью ""НИКИО"""
"091240008803"	"Товарищество с ограниченной ответственностью ""ТАРХАН-ТӨРЕ"""
"091240009039"	"Товарищество с ограниченной ответственностью ""МИЗАМИНИ"""
"091240009059"	"Товарищество с ограниченной ответственностью ""КОКТЕБЕЛЬ"""
"101240018528"	"Товарищество с ограниченной ответственностью ""БИЗНЕС КЛАСС КОНСАЛТИНГ"""
"111140008221"	"Товарищество с ограниченной ответственностью ""Эксклюзив-2011"""
"120140002320"	"Товарищество с ограниченной ответственностью ""TSP COLOR"""
"121240005430"	"Товарищество с ограниченной ответственностью ""ТЕМІРЛАН ҚҰРЫЛЫС 2020"""
"140640009677"	"Товарищество с ограниченной ответственностью ""PROFKYZMET"""
"950440000328"	"Товарищество с ограниченной ответственностью ""ИРБИС"""
"990440000632"	"Товарищество с ограниченной ответственностью ""Эдит"""
"990540000993"	"Товарищество с ограниченной ответственностью ""Multi Mon"""
"990940003576"	"Товарищество с ограниченной ответственностью ""ФИРМА ""СОФТ РОУД"""
""	"Товарищество с ограниченной ответственностью ""ВЭЛКОН LTD"""
""	"ТОО ""Айдаhар 888"""
""	"ТОО ""ТАТЬЯНА""    u004"
""	"Товарищество с ограниченной ответственностью ""VISION FMS KZ.Co. LTD"" (ВИЖН ЭФЭМЭС КЕЙЗЕТ. Ко. ЛТД)"
"060140023111"	"Товарищество с ограниченной ответственностью ""ЕР-МАКС"""
"040440004201"	"Товарищество с ограниченной ответственностью ""Байтерек-КМ"""
"040540002020"	"Товарищество с ограниченной ответственностью ""Де-Факто Global"""
"070540001355"	"Товарищество с ограниченной ответственностью ""ТАМГА ЮРСЕРВИС"""
"100640011116"	"Товарищество с ограниченной ответственностью ""NEW BRAND"""
"100640012719"	"Товарищество с ограниченной ответственностью ""PROMO-STORM"""
"100840004140"	"Товарищество с ограниченной ответственностью ""Dominant Limited"""
"100940002613"	"Товарищество с ограниченной ответственностью ""Жалгер КЗ"""
"110140009722"	"Товарищество с ограниченной ответственностью ""Rent kz"""
"150740022382"	"Товарищество с ограниченной ответственностью ""Tal Capital"""
"141040020202"	"Товарищество с ограниченной ответственностью ""Richmaxx (Ричмакс)"""
"090640003804"	"Товарищество с ограниченной ответственностью ""Icand"""
